layer,size
layer_6_add_mid_position_embedding,9.9638671875
layer_7_Layer_Norm_Before,9.9638671875
layer_7_Query,9.9638671875
layer_7_Key,9.9638671875
layer_7_Value,9.9638671875
layer_7_mul,529.4861297607422
layer_7_div,529.4861297607422
layer_7_softmax,529.4861297607422
layer_7_dropout,529.4861297607422
layer_7_context,9.9638671875
layer_7_Self_Attention_Output,9.9638671875
layer_7_Residual_Connection_1,9.9638671875
layer_7_Layer_Norm_After,9.9638671875
layer_7_Intermediate_Forward,39.85546875
layer_7_Output,9.9638671875
layer_7_mid_position_embedding,9.9638671875
layer_7_add_mid_position_embedding,9.9638671875
layer_8_Layer_Norm_Before,9.9638671875
layer_8_Query,9.9638671875
layer_8_Key,9.9638671875
layer_8_Value,9.9638671875
layer_8_mul,529.4861297607422
layer_8_div,529.4861297607422
layer_8_softmax,529.4861297607422
layer_8_dropout,529.4861297607422
layer_8_context,9.9638671875
layer_8_Self_Attention_Output,9.9638671875
layer_8_Residual_Connection_1,9.9638671875
layer_8_Layer_Norm_After,9.9638671875
layer_8_Intermediate_Forward,39.85546875
layer_8_Output,9.9638671875
layer_8_mid_position_embedding,9.9638671875
layer_8_add_mid_position_embedding,9.9638671875
layer_9_Layer_Norm_Before,9.9638671875
layer_9_Query,9.9638671875
layer_9_Key,9.9638671875
layer_9_Value,9.9638671875
layer_9_mul,529.4861297607422
layer_9_div,529.4861297607422
layer_9_softmax,529.4861297607422
layer_9_dropout,529.4861297607422
layer_9_context,9.9638671875
layer_9_Self_Attention_Output,9.9638671875
layer_9_Residual_Connection_1,9.9638671875
layer_9_Layer_Norm_After,9.9638671875
layer_9_Intermediate_Forward,39.85546875
layer_9_Output,9.9638671875
layer_9_mid_position_embedding,9.9638671875
layer_9_add_mid_position_embedding,9.9638671875
layer_10_Layer_Norm_Before,9.9638671875
layer_10_Query,9.9638671875
layer_10_Key,9.9638671875
layer_10_Value,9.9638671875
layer_10_mul,529.4861297607422
layer_10_div,529.4861297607422
layer_10_softmax,529.4861297607422
layer_10_dropout,529.4861297607422
layer_10_context,9.9638671875
layer_10_Self_Attention_Output,9.9638671875
layer_10_Residual_Connection_1,9.9638671875
layer_10_Layer_Norm_After,9.9638671875
layer_10_Intermediate_Forward,39.85546875
layer_10_Output,9.9638671875
layer_10_mid_position_embedding,9.9638671875
layer_10_add_mid_position_embedding,9.9638671875
layer_11_Layer_Norm_Before,9.9638671875
layer_11_Query,9.9638671875
layer_11_Key,9.9638671875
layer_11_Value,9.9638671875
layer_11_mul,529.4861297607422
layer_11_div,529.4861297607422
layer_11_softmax,529.4861297607422
layer_11_dropout,529.4861297607422
layer_11_context,9.9638671875
layer_11_Self_Attention_Output,9.9638671875
layer_11_Residual_Connection_1,9.9638671875
layer_11_Layer_Norm_After,9.9638671875
layer_11_Intermediate_Forward,39.85546875
layer_11_Output,9.9638671875
Layer_Norm,9.9638671875
