layer,agx_1
layer_5_Layer_Norm_Before,0.0013020479679107
layer_5_Query,0.0172972164154052
layer_5_Key,0.0173836154937744
layer_5_Value,0.0172439041137695
layer_5_mul,0.0886316452026367
layer_5_div,0.0306476802825927
layer_5_softmax,0.0728098526000976
layer_5_dropout,0.0002173119932413
layer_5_context,0.0715170211791992
layer_5_Self_Attention_Output,0.0172768325805664
layer_5_Residual_Connection_1,0.0009704319834709
layer_5_Layer_Norm_After,0.0014104319810867
layer_5_Intermediate_Forward,0.0710872955322265
layer_5_Output,0.0663601608276367
layer_5_mid_position_embedding,0.0293544960021972
layer_5_add_mid_position_embedding,0.0009514880180358
layer_6_Layer_Norm_Before,0.0013443839550018
layer_6_Query,0.0173742713928222
layer_6_Key,0.0173527679443359
layer_6_Value,0.0173970870971679
layer_6_mul,0.0886671371459961
layer_6_div,0.0306786556243896
layer_6_softmax,0.072787841796875
layer_6_dropout,0.0002245119959115
layer_6_context,0.0712668762207031
layer_6_Self_Attention_Output,0.0175485763549804
layer_6_Residual_Connection_1,0.0009695680141448
layer_6_Layer_Norm_After,0.0012995200157165
layer_6_Intermediate_Forward,0.0710302734375
layer_6_Output,0.0665446090698242
layer_6_mid_position_embedding,0.029491039276123
layer_6_add_mid_position_embedding,0.0010459200143814
layer_7_Layer_Norm_Before,0.0013665280342102
layer_7_Query,0.0175803203582763
layer_7_Key,0.0174375991821289
layer_7_Value,0.0173796806335449
layer_7_mul,0.0890696945190429
layer_7_div,0.0306241607666015
layer_7_softmax,0.0728324508666992
layer_7_dropout,0.0002377600073814
layer_7_context,0.0715547866821289
layer_7_Self_Attention_Output,0.0175222721099853
layer_7_Residual_Connection_1,0.0009873600006103
layer_7_Layer_Norm_After,0.0014289599657058
layer_7_Intermediate_Forward,0.0711292190551757
layer_7_Output,0.0663224029541015
layer_7_mid_position_embedding,0.0292841911315917
layer_7_add_mid_position_embedding,0.0009536640048027
layer_8_Layer_Norm_Before,0.0013525760173797
layer_8_Query,0.0172825279235839
layer_8_Key,0.0173703670501709
layer_8_Value,0.017399616241455
layer_8_mul,0.088663230895996
layer_8_div,0.0306089916229248
layer_8_softmax,0.0729966430664062
layer_8_dropout,0.0002002879977226
layer_8_context,0.0712403182983398
layer_8_Self_Attention_Output,0.0175287036895751
layer_8_Residual_Connection_1,0.0009695680141448
layer_8_Layer_Norm_After,0.0013068480491638
layer_8_Intermediate_Forward,0.0710932159423828
layer_8_Output,0.0659056015014648
layer_8_mid_position_embedding,0.0294362564086914
layer_8_add_mid_position_embedding,0.0009204480051994
layer_9_Layer_Norm_Before,0.0013315839767456
layer_9_Query,0.0174747524261474
layer_9_Key,0.0173565120697021
layer_9_Value,0.0174068489074707
layer_9_mul,0.0886564788818359
layer_9_div,0.030608736038208
layer_9_softmax,0.0734276504516601
layer_9_dropout,0.0001951680034399
layer_9_context,0.0712035217285156
layer_9_Self_Attention_Output,0.0175230083465576
layer_9_Residual_Connection_1,0.0009803839921951
layer_9_Layer_Norm_After,0.0013312640190124
layer_9_Intermediate_Forward,0.0711100769042968
layer_9_Output,0.0663685455322265
layer_9_mid_position_embedding,0.029705919265747
layer_9_add_mid_position_embedding,0.000961088001728
layer_10_Layer_Norm_Before,0.0012703039646148
layer_10_Query,0.0174214401245117
layer_10_Key,0.0173865928649902
layer_10_Value,0.0174473285675048
layer_10_mul,0.0886327056884765
layer_10_div,0.030676191329956
layer_10_softmax,0.073959487915039
layer_10_dropout,0.0002190400063991
layer_10_context,0.0712834854125976
layer_10_Self_Attention_Output,0.0174771518707275
layer_10_Residual_Connection_1,0.0009636800289154
layer_10_Layer_Norm_After,0.0012945280075073
layer_10_Intermediate_Forward,0.0711186218261718
layer_10_Output,0.0663684158325195
layer_10_mid_position_embedding,0.0298214073181152
layer_10_add_mid_position_embedding,0.0009691519737243
layer_11_Layer_Norm_Before,0.0013812160491943
layer_11_Query,0.0173419513702392
layer_11_Key,0.0174547843933105
layer_11_Value,0.0174020156860351
layer_11_mul,0.0885824966430664
layer_11_div,0.0306636791229248
layer_11_softmax,0.0728349456787109
layer_11_dropout,0.0002040960043668
layer_11_context,0.0718178253173828
layer_11_Self_Attention_Output,0.0175189113616943
layer_11_Residual_Connection_1,0.0009705600142478
layer_11_Layer_Norm_After,0.0013179520368576
layer_11_Intermediate_Forward,0.0710448303222656
layer_11_Output,0.0663422698974609
Layer_Norm,0.0013424960374832
Class_Labels_Classifier,0.0020229120254516
Box_Predictor,0.001871423959732
output,0.0
