layer_name,time,cpu_mem,cuda_mem,size,macs
layer_2_Intermediate_Forward, 0.07110249328613281,0,79.01171875,39.85546875,0
layer_2_Output, 0.06633821105957032,0,9.0029296875,9.9638671875,0
layer_2_add_mid_position_embedding, 0.0010407999753952026,0,0,9.9638671875,0
layer_3_Layer_Norm_Before, 0.0012897599935531615,0,9.9697265625,9.9638671875,0
layer_3_Query, 0.01739632034301758,0, 2.2529296875,9.9638671875,0
layer_3_Key, 0.017426944732666014,0,2.2529296875,9.9638671875,0
layer_3_Value, 0.017691871643066407,0,2.2529296875,9.9638671875,0
layer_3_mul, 0.08863811492919922,0,520,529.4861297607422,0
layer_3_div, 0.030693952560424804,0,520,529.4861297607422,0
layer_3_softmax, 0.07335842895507813,0,0,529.4861297607422,0
layer_3_dropout, 0.0002298559993505478,0,0,529.4861297607422,0
layer_3_context, 0.07117424011230469,0,0,9.9638671875,0
layer_3_Self_Attention_Output, 0.017468576431274415,0,2.2529296875,9.9638671875,0
layer_3_Residual_Connection_1, 0.0009766719937324524,0,0,9.9638671875,0
layer_3_Layer_Norm_After, 0.0013423999547958374,0,20.005859375,9.9638671875,0
layer_3_Intermediate_Forward, 0.07114358520507813,0,79.01171875,39.85546875,0
layer_3_Output, 0.06584403228759765,0,9.0029296875,9.9638671875,0
layer_3_add_mid_position_embedding, 0.0011531200408935547,0,0,9.9638671875,0
layer_4_Layer_Norm_Before, 0.0013579519987106322,0,9.9697265625,9.9638671875,0
layer_4_Query, 0.01745676803588867,0, 2.2529296875,9.9638671875,0
layer_4_Key, 0.01717465591430664,0,2.2529296875,9.9638671875,0
layer_4_Value, 0.017381248474121095,0,2.2529296875,9.9638671875,0
layer_4_mul, 0.08868307495117188,0,520,529.4861297607422,0
layer_4_div, 0.03071558380126953,0,520,529.4861297607422,0
layer_4_softmax, 0.07289894104003906,0,0,529.4861297607422,0
layer_4_dropout, 0.00023497599363327026,0,0,529.4861297607422,0
layer_4_context, 0.07156211090087891,0,0,9.9638671875,0
layer_4_Self_Attention_Output, 0.0173156795501709,0,2.2529296875,9.9638671875,0
layer_4_Residual_Connection_1, 0.0009679359793663025,0,0,9.9638671875,0
layer_4_Layer_Norm_After, 0.001318303942680359,0,20.005859375,9.9638671875,0
layer_4_Intermediate_Forward, 0.07106105804443359,0,79.01171875,39.85546875,0
layer_4_Output, 0.06646399688720703,0,9.0029296875,9.9638671875,0
layer_4_add_mid_position_embedding, 0.0010417280197143554,0,0,9.9638671875,0
layer_5_Layer_Norm_Before, 0.0012888319492340087,0,9.9697265625,9.9638671875,0
layer_5_Query, 0.017407007217407226,0, 2.2529296875,9.9638671875,0
layer_5_Key, 0.017445823669433595,0,2.2529296875,9.9638671875,0
layer_5_Value, 0.017252992630004883,0,2.2529296875,9.9638671875,0
layer_5_mul, 0.08876345825195313,0,520,529.4861297607422,0
layer_5_div, 0.030627552032470702,0,520,529.4861297607422,0
layer_5_softmax, 0.07283229064941406,0,0,529.4861297607422,0
layer_5_dropout, 0.00029068800806999204,0,0,529.4861297607422,0
layer_5_context, 0.07156543731689453,0,0,9.9638671875,0
layer_5_Self_Attention_Output, 0.017419904708862306,0,2.2529296875,9.9638671875,0
layer_5_Residual_Connection_1, 0.0009033600091934204,0,0,9.9638671875,0
layer_5_Layer_Norm_After, 0.0014080959558486939,0,20.005859375,9.9638671875,0
layer_5_Intermediate_Forward, 0.07114316558837891,0,79.01171875,39.85546875,0
layer_5_Output, 0.06630611419677734,0,9.0029296875,9.9638671875,0
layer_5_add_mid_position_embedding, 0.0010428160429000854,0,0,9.9638671875,0
layer_6_Layer_Norm_Before, 0.001299072027206421,0,9.9697265625,9.9638671875,0
layer_6_Query, 0.01721875190734863,0, 2.2529296875,9.9638671875,0
layer_6_Key, 0.017440351486206054,0,2.2529296875,9.9638671875,0
layer_6_Value, 0.017646335601806642,0,2.2529296875,9.9638671875,0
layer_6_mul, 0.08890544128417968,0,520,529.4861297607422,0
layer_6_div, 0.030860767364501954,0,520,529.4861297607422,0
layer_6_softmax, 0.07289984130859375,0,0,529.4861297607422,0
layer_6_dropout, 0.00027340799570083616,0,0,529.4861297607422,0
layer_6_context, 0.07136441802978516,0,0,9.9638671875,0
layer_6_Self_Attention_Output, 0.01756889533996582,0,2.2529296875,9.9638671875,0
layer_6_Residual_Connection_1, 0.0009823679924011231,0,0,9.9638671875,0
layer_6_Layer_Norm_After, 0.0013416320085525512,0,20.005859375,9.9638671875,0
layer_6_Intermediate_Forward, 0.07113270568847656,0,79.01171875,39.85546875,0
layer_6_Output, 0.06633161926269532,0,9.0029296875,9.9638671875,0
layer_6_add_mid_position_embedding, 0.0010470080375671387,0,0,9.9638671875,0
