layer_name,time,cpu_mem,cuda_mem,size,macs
layer_2_Query, 0.017436607360839844,0, 0,9.9638671875,0
layer_2_Key, 0.017187200546264648,0,0,9.9638671875,0
layer_2_Value, 0.017227615356445312,0,0,9.9638671875,0
layer_2_mul, 0.08866108703613282,0,520,529.4861297607422,0
layer_2_div, 0.03065497589111328,0,520,529.4861297607422,0
layer_2_softmax, 0.07844099426269531,0,0,529.4861297607422,0
layer_2_dropout, 0.0002722879946231842,0,0,529.4861297607422,0
layer_2_context, 0.07154467010498047,0,0,9.9638671875,0
layer_2_Self_Attention_Output, 0.01776246452331543,0,0,9.9638671875,0
layer_2_Residual_Connection_1, 0.0009938880205154418,0,0,9.9638671875,0
layer_2_Layer_Norm_After, 0.001303455948829651,0,20,9.9638671875,0
layer_2_Intermediate_Forward, 0.07120563507080079,0,70,39.85546875,0
layer_2_Output, 0.06644960021972657,0,0,9.9638671875,0
layer_2_mid_position_embedding, 0.029316127777099608,0,0,9.9638671875,0
layer_2_add_mid_position_embedding, 0.0009560959935188294,0,0,9.9638671875,0
layer_3_Layer_Norm_Before, 0.0013188480138778688,0,0,9.9638671875,0
layer_3_Query, 0.017397344589233397,0, 0,9.9638671875,0
layer_3_Key, 0.017384000778198242,0,0,9.9638671875,0
layer_3_Value, 0.017417280197143555,0,0,9.9638671875,0
layer_3_mul, 0.08867721557617188,0,520,529.4861297607422,0
layer_3_div, 0.030691455841064454,0,520,529.4861297607422,0
layer_3_softmax, 0.07327510070800781,0,0,529.4861297607422,0
layer_3_dropout, 0.00025788798928260803,0,0,529.4861297607422,0
layer_3_context, 0.07130300903320312,0,0,9.9638671875,0
layer_3_Self_Attention_Output, 0.01732192039489746,0,0,9.9638671875,0
layer_3_Residual_Connection_1, 0.000972703993320465,0,0,9.9638671875,0
layer_3_Layer_Norm_After, 0.0013106240034103393,0,20,9.9638671875,0
layer_3_Intermediate_Forward, 0.07114083099365234,0,70,39.85546875,0
layer_3_Output, 0.06634435272216797,0,0,9.9638671875,0
layer_3_mid_position_embedding, 0.029381311416625977,0,0,9.9638671875,0
layer_3_add_mid_position_embedding, 0.0009809280037879945,0,0,9.9638671875,0
layer_4_Layer_Norm_Before, 0.001301983952522278,0,0,9.9638671875,0
layer_4_Query, 0.017422527313232423,0, 0,9.9638671875,0
layer_4_Key, 0.01740880012512207,0,0,9.9638671875,0
layer_4_Value, 0.01767897605895996,0,0,9.9638671875,0
layer_4_mul, 0.088712158203125,0,520,529.4861297607422,0
layer_4_div, 0.030754144668579102,0,520,529.4861297607422,0
layer_4_softmax, 0.07284294128417969,0,0,529.4861297607422,0
layer_4_dropout, 0.0002545920014381409,0,0,529.4861297607422,0
layer_4_context, 0.07175571441650391,0,0,9.9638671875,0
layer_4_Self_Attention_Output, 0.017591136932373047,0,0,9.9638671875,0
layer_4_Residual_Connection_1, 0.0009911680221557618,0,0,9.9638671875,0
layer_4_Layer_Norm_After, 0.001300544023513794,0,20,9.9638671875,0
layer_4_Intermediate_Forward, 0.071162109375,0,70,39.85546875,0
layer_4_Output, 0.06639148712158204,0,0,9.9638671875,0
layer_4_mid_position_embedding, 0.029472383499145507,0,0,9.9638671875,0
layer_4_add_mid_position_embedding, 0.0009094719886779785,0,0,9.9638671875,0
layer_5_Layer_Norm_Before, 0.0012868160009384154,0,0,9.9638671875,0
layer_5_Query, 0.017238304138183592,0, 0,9.9638671875,0
layer_5_Key, 0.01734441566467285,0,0,9.9638671875,0
layer_5_Value, 0.01751100730895996,0,0,9.9638671875,0
layer_5_mul, 0.0886364517211914,0,520,529.4861297607422,0
layer_5_div, 0.03080441665649414,0,520,529.4861297607422,0
layer_5_softmax, 0.07286511993408203,0,0,529.4861297607422,0
layer_5_dropout, 0.00023321600258350373,0,0,529.4861297607422,0
layer_5_context, 0.07139087677001953,0,0,9.9638671875,0
layer_5_Self_Attention_Output, 0.01767203140258789,0,0,9.9638671875,0
