layer_name,time,cpu_mem,cuda_mem,size,macs
layer_8_Layer_Norm_Before, 0.0012807040214538575,0,0,9.9638671875,0
layer_8_Query, 0.017242080688476564,0, 0,9.9638671875,0
layer_8_Key, 0.01746767997741699,0,0,9.9638671875,0
layer_8_Value, 0.017419647216796875,0,0,9.9638671875,0
layer_8_mul, 0.08877184295654297,0,520,529.4861297607422,0
layer_8_div, 0.030710208892822267,0,520,529.4861297607422,0
layer_8_softmax, 0.07289670562744141,0,0,529.4861297607422,0
layer_8_dropout, 0.00018928000330924988,0,0,529.4861297607422,0
layer_8_context, 0.07123305511474609,0,0,9.9638671875,0
layer_8_Self_Attention_Output, 0.017480287551879883,0,0,9.9638671875,0
layer_8_Residual_Connection_1, 0.0010788160562515258,0,0,9.9638671875,0
layer_8_Layer_Norm_After, 0.0013793280124664306,0,200,9.9638671875,0
layer_8_Intermediate_Forward, 0.07112448120117187,0,800,39.85546875,0
layer_8_Output, 0.06569977569580078,0,1130,9.9638671875,0
layer_8_add_mid_position_embedding, 0.0010381439924240113,0,1180,9.9638671875,0
layer_9_Layer_Norm_Before, 0.0012756160497665405,0,0,9.9638671875,0
layer_9_Query, 0.017394367218017577,0, 0,9.9638671875,0
layer_9_Key, 0.017418943405151367,0,0,9.9638671875,0
layer_9_Value, 0.01737295913696289,0,0,9.9638671875,0
layer_9_mul, 0.08857437133789063,0,520,529.4861297607422,0
layer_9_div, 0.030708288192749022,0,520,529.4861297607422,0
layer_9_softmax, 0.07292211151123047,0,0,529.4861297607422,0
layer_9_dropout, 0.0003383040130138397,0,0,529.4861297607422,0
layer_9_context, 0.07173382568359375,0,0,9.9638671875,0
layer_9_Self_Attention_Output, 0.01775254440307617,0,0,9.9638671875,0
layer_9_Residual_Connection_1, 0.0010057599544525146,0,0,9.9638671875,0
layer_9_Layer_Norm_After, 0.0013629759550094604,0,200,9.9638671875,0
layer_9_Intermediate_Forward, 0.07121180725097656,0,800,39.85546875,0
layer_9_Output, 0.0664450912475586,0,1130,9.9638671875,0
